Unique Response ID,Gender,Age,Country they Currently Reside In,Primary Language,Writing Level,Awarness of Haus für Poesie ,How they Discovered Haus für Poesie,Brands they are Aware Of,Brands they Use,Experience with Haus für Poesie,Likeliness to Recommend Haus für Poesie to Others,Usability of Haus für Poesie's Website,Findability of Haus für Poesie's Website,Appeal of Haus für Poesie's Website
R_2DXIeKLxa8miUfz,Female,35-44 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,Komm zur sprache,lyrikklub",lyrikline,Positive,Extremely Likely,Easy to Use,Easy,Appealing
R_2cd3FpSa0Oeh5Lx,Female,55-64 years old,Germany,French,I am not interested in writing,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyrikklub","Haus für Poesie,lyrikline,poesiefestival berlin",Very Positive,Extremely Likely,Very Easy to Use,Very Easy,Appealing
R_4JFo7IYJvoXnZgv,Female,18-24 years old,Germany,German,I write as a hobby,No,Online Advertising,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyriklab","Haus für Poesie,lyrikline",Very Positive,Extremely Likely,Neutral,Very Easy,Very Appealing
R_3QMn2P39o6RiRfR,Male,45-54 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Online Advertising,lyrikline,lyrikline,Neutral or Unsure,Neither Likely nor Unlikely,Neutral,Neutral,Neutral
R_27jIbzxKcylkqZy,Female,18-24 years old,Germany,English,I write as a hobby,Yes,Online Advertising,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyrikklub","Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival,lyrikklub",Positive,Extremely Likely,Neutral,Very Easy,Very Appealing
R_2nudGk8UN4hCVzc,Male,25-34 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,Komm zur sprache,lyrikklub","Haus für Poesie,lyrikline",Positive,Extremely Likely,Neutral,Very Easy,Appealing
R_2UinGW92FsaBtne,Female,25-34 years old,Netherlands,-None of these-,I write professionally,Yes,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyrikklub",Haus für Poesie,Very Positive,Extremely Likely,Very Easy to Use,Easy,Appealing
R_1PpO9YZwGfDIRE7,Female,55-64 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,Komm zur sprache,lyrikklub","Haus für Poesie,lyrikline",Positive,Somewhat Likely,Very Easy to Use,Very Easy,Very Appealing
R_2fAKmMK8Iq5D985,Female,55-64 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyrikklub",Haus für Poesie,Positive,Somewhat Likely,Easy to Use,Easy,Appealing
R_2EB6dNvr4thE0Ex,Female,65-74 years old,Germany,German,I write professionally,No,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyrikklub",Haus für Poesie,Neutral or Unsure,Neither Likely nor Unlikely,Easy to Use,Easy,Appealing
R_44UGhDml12lfz6F,Female,25-34 years old,Austria,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,ZEBRA Poetry Film Festival,open mike","Haus für Poesie,lyrikline",Very Positive,Extremely Likely,Very Easy to Use,Very Easy,Very Appealing
R_2FQM4cxjND8nYGJ,,,,German,I am not interested in writing,Yes,Online Advertising,ZEBRA Poetry Film Festival,poesiefestival berlin,,,Neutral,Neutral,Neutral
R_5P4ZhJaWYgNhtus,Male,45-54 years old,Germany,German,I am new to writing,No,"Online Advertising,Physical advertising,Other literary organizations or events","Haus für Poesie,ZEBRA Poetry Film Festival	",,Neutral or Unsure,Somewhat Likely,Easy to Use,Easy,Unappealing
R_7Pb2Jh1pi5zllOF,Male,55-64 years old,Germany,German,I write as a hobby,No,Online Advertising,"Haus für Poesie,lyrikline,open mike","Haus für Poesie,lyrikline",Positive,Somewhat Likely,Easy to Use,Neutral,Appealing
R_6UMkDc976StggzT,Female,75+ years old,Switzerland,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible","lyrikline,VERSschmuggel / reVERSible",Very Positive,Extremely Likely,Easy to Use,Very Easy,Appealing
R_6QVrl1E6fme1JD4,Female,35-44 years old,Germany,German,I write as a hobby,No,Online Advertising,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,lyrikklub",Haus für Poesie,Very Positive,Extremely Likely,Very Easy to Use,Very Easy,Appealing
R_2OvmtMCoVh05tWT,Female,45-54 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible","lyrikline,poesiefestival berlin",Positive,Somewhat Likely,Neutral,Neutral,Neutral
R_39smV3bRTXYQxD3,Female,25-34 years old,Germany,German,I am new to writing,Yes,"Friend, Coworker, Family member,Other literary organizations or events","Haus für Poesie,poesiefestival berlin,open mike","Haus für Poesie,poesiefestival berlin,open mike",Very Positive,Extremely Likely,Neutral,Neutral,Neutral
R_39undDesc4DGY81,Female,35-44 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible","Haus für Poesie,open mike",Positive,Somewhat Likely,Easy to Use,Easy,Very Appealing
R_2nJH2Ut0cCzKpi8,Female,55-64 years old,Germany,German,I write as a hobby,No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,lyrikklub","Haus für Poesie,lyrikline,poesiefestival berlin",Very Positive,Extremely Likely,Easy to Use,Very Easy,Appealing
R_2E3UkTru6iDzp7i,Male,65-74 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible","Haus für Poesie,lyrikline,poesiefestival berlin,VERSschmuggel / reVERSible",Positive,Extremely Likely,Easy to Use,Very Easy,Very Appealing
R_4hDE6ABX5lOh237,Non-binary / third gender,35-44 years old,Germany,German,I am new to writing,Yes,Online Advertising,"Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival",Haus für Poesie,Positive,Extremely Likely,Neutral,Very Easy,Appealing
R_2kIMcCyLkwmmpkl,Female,35-44 years old,Germany,German,I write as a hobby,No,Online Advertising,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,lyrikklub","Haus für Poesie,open mike",Positive,Somewhat Likely,Neutral,Easy,Appealing
R_7zutObcMRnr8MMs,Female,45-54 years old,Germany,German,I write professionally,No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyriklab,lyrikklub",Haus für Poesie,Very Positive,Extremely Likely,Easy to Use,Easy,Neutral
R_2thyXHtxVUrVoMo,Female,55-64 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,open mike,Komm zur sprache	",,Positive,Extremely Likely,Easy to Use,Easy,Appealing
R_3fNOvxuLacDrqgd,Female,25-34 years old,Germany,English,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,lyriklab	",,Positive,Somewhat Likely,Hard to Use,Easy,Appealing
R_7JVANer7CqpQJKU,Female,25-34 years old,Switzerland,German,I am a student studying Writing,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,Komm zur sprache,lyrikklub","Haus für Poesie,lyrikline",Positive,Extremely Likely,Easy to Use,Easy,Neutral
R_7eLgAI4UlEAqbh8,Female,35-44 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible","Haus für Poesie,lyrikline,poesiefestival berlin",Positive,Extremely Likely,Hard to Use,Very Easy,Neutral
R_8k6zMnVlz0YEMsc,Female,55-64 years old,Germany,German,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible","Haus für Poesie,lyrikline",Positive,Neither Likely nor Unlikely,Easy to Use,Easy,Neutral
R_3drQbBoyZ0gzVtF,Female,55-64 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,lyrikklub",lyrikline,Very Positive,Somewhat Likely,Easy to Use,Very Easy,Neutral
R_1XQDErxP6nt1XvH,Female,55-64 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival","Haus für Poesie,lyrikline,poesiefestival berlin",Very Positive,Extremely Likely,Easy to Use,Easy,Appealing
R_2ddbcHwVAsRLqmj,Female,45-54 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member",Haus für Poesie,open mike,Positive,Somewhat Likely,Easy to Use,Difficult,Unappealing
R_4ljPoa4Hr5mQ4Fz,Female,35-44 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,open mike,VERSschmuggel / reVERSible	",,Neutral or Unsure,Neither Likely nor Unlikely,Neutral,Neutral,Very Appealing
R_2QbDwt8tfEbssrp,Female,25-34 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Online Advertising,"Haus für Poesie,ZEBRA Poetry Film Festival	",,Positive,Extremely Likely,Easy to Use,Very Easy,Appealing
R_5et1XKqimHpDA2P,Non-binary / third gender,25-34 years old,Germany,English,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin",,Neutral or Unsure,Neither Likely nor Unlikely,Easy to Use,Easy,Appealing
R_8cBMgbWmyO5HDXS,Male,65-74 years old,Germany,German,I write professionally,Yes,"Online Advertising,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin,open mike",Haus für Poesie,Positive,Somewhat Likely,Easy to Use,Easy,Very Appealing
R_2e8NV3EuxFckziQ,Female,25-34 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike",Haus für Poesie,Positive,Extremely Likely,Neutral,Easy,Appealing
R_4VKJfcZOHQZM6o9,Female,55-64 years old,Austria,German,I write as a hobby,No,"Online Advertising,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival","Haus für Poesie,poesiefestival berlin",Positive,Extremely Likely,Easy to Use,Very Easy,Neutral
R_3oiBRMtirmMevip,Male,35-44 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike",Haus für Poesie,Positive,Extremely Likely,Easy to Use,Easy,Very Appealing
R_2D0If7YAssoDTQV,Female,55-64 years old,Germany,German,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,open mike",Haus für Poesie,Positive,Somewhat Likely,Easy to Use,Easy,Neutral
R_8arkm07EiyAmdAk,Female,55-64 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike","Haus für Poesie,lyrikline",Very Positive,Extremely Likely,Very Easy to Use,Very Easy,Appealing
R_2HukIWKqKHFbBzr,Male,75+ years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin","Haus für Poesie,lyrikline",Positive,Somewhat Likely,Easy to Use,Very Easy,Neutral
R_31yTD7RLAIZB10b,Female,18-24 years old,Germany,German,I write as a hobby,No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike",Haus für Poesie,Positive,Somewhat Likely,Neutral,Very Easy,Appealing
R_7OiY5An5o1NP6lk,Female,65-74 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,lyriklab","Haus für Poesie,poesiefestival berlin,lyrikklub",Positive,Extremely Likely,Easy to Use,Very Easy,Appealing
R_6vffCyQgySSZ03w,Female,18-24 years old,Austria,German,I am a student studying Writing,Yes,"Friend, Coworker, Family member,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab","Haus für Poesie,lyrikline,open mike",Very Positive,Extremely Likely,Neutral,Very Easy,Appealing
R_23RM4OiFos22Iw1,Female,45-54 years old,,German,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline","Haus für Poesie,lyrikline",Positive,Neither Likely nor Unlikely,Easy to Use,Very Easy,Neutral
R_2bO9esxYrDOb43k,Male,75+ years old,Germany,German,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival",lyrikline,Positive,Neither Likely nor Unlikely,Neutral,Easy,Appealing
R_2dEyGQugERKNgqV,Female,65-74 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible	",,Positive,Somewhat Likely,Neutral,Easy,Neutral
R_2EePRxMiFKCzRIZ,Female,25-34 years old,Germany,German,I write professionally,No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,open mike	",,Positive,Somewhat Likely,Easy to Use,Easy,Appealing
R_8GeqHt7mYkmgKwh,Female,65-74 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,"Friend, Coworker, Family member",Haus für Poesie,Haus für Poesie,Positive,Neither Likely nor Unlikely,Very Easy to Use,Easy,Very Appealing
R_1tRqCm1LTGUqSRz,Male,55-64 years old,Germany,German,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,open mike",Haus für Poesie,Positive,Extremely Likely,Easy to Use,Easy,Appealing
R_6axcBFXg7Vzsqtz,Female,45-54 years old,Germany,German,I write as a hobby,Yes,"Friend, Coworker, Family member","Haus für Poesie,poesiefestival berlin,open mike",Haus für Poesie,,Extremely Likely,Neutral,Very Easy,Appealing
R_889rklz5178vdkd,Male,55-64 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"Haus für Poesie,ZEBRA Poetry Film Festival",Haus für Poesie,Positive,Somewhat Likely,Very Easy to Use,Very Easy,Appealing
R_6D09q7y6XhbwlEJ,Female,45-54 years old,Germany,German,I am a student studying Writing,No,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,lyrikklub",Haus für Poesie,Positive,Somewhat Likely,Easy to Use,Easy,Appealing
R_8qsOGRlgeJENI7X,Female,65-74 years old,Germany,German,I write professionally,No,Other literary organizations or events,"Haus für Poesie,lyrikline","Haus für Poesie,lyrikline",Positive,Somewhat Likely,Very Easy to Use,Very Easy,Appealing
R_3cVql1rIFUHckDL,Male,35-44 years old,Germany,German,I write as a hobby,No,Online Advertising,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike",Haus für Poesie,Positive,Extremely Likely,Easy to Use,Easy,Neutral
R_7MKyAtZOE09Mevn,Female,35-44 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member","Haus für Poesie,ZEBRA Poetry Film Festival,open mike",,Positive,Somewhat Likely,Easy to Use,Easy,Appealing
R_1X6u0Xg1n1ZwjBG,Female,35-44 years old,Germany,German,I write as a hobby,No,"Friend, Coworker, Family member",Haus für Poesie,Haus für Poesie,Positive,Somewhat Likely,Easy to Use,Easy,Very Appealing
R_6MsxLU6dIRjv1Jg,Male,35-44 years old,Germany,German,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,open mike","Haus für Poesie,open mike",Positive,Somewhat Likely,Easy to Use,Easy,Neutral
R_29uZvuSlxvQK6YJ,Female,45-54 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,"Friend, Coworker, Family member","Haus für Poesie,open mike	",,Positive,Extremely Likely,Easy to Use,Very Easy,Appealing
R_5GjnFLkx4jFKn82,Male,25-34 years old,Germany,German,I am a student studying Writing,Yes,"Friend, Coworker, Family member,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyriklab","Haus für Poesie,lyrikline,poesiefestival berlin,open mike",Very Positive,Extremely Likely,Easy to Use,Neutral,Appealing
R_6liqoie2Q21Dk29,Male,35-44 years old,Germany,German,I write as a hobby,No,"Friend, Coworker, Family member","Haus für Poesie,open mike	",,Neutral or Unsure,Somewhat Likely,Neutral,Easy,Appealing
R_511j6lyne78Ws5N,Female,25-34 years old,Germany,German,I write as a hobby,No,Other literary organizations or events,"Haus für Poesie,open mike	",,Positive,Neither Likely nor Unlikely,Neutral,Neutral,Neutral
R_6jIJHCE97ir45k1,Female,25-34 years old,Germany,German,I write as a hobby,Yes,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike",Haus für Poesie,Positive,Extremely Likely,Easy to Use,Easy,Very Appealing
R_8djdk8ZwJvl2B93,Female,65-74 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyrikklub",lyrikline,Positive,Extremely Likely,Easy to Use,Easy,Appealing
R_8jkXCuwVt5Wtjxy,Female,55-64 years old,Italy,-None of these-,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible","Haus für Poesie,lyrikline,poesiefestival berlin",Very Positive,Extremely Likely,Neutral,Easy,Neutral
R_2ADa4PGRJToE7dv,Male,45-54 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike",lyrikline,Very Positive,Extremely Likely,Neutral,Very Easy,Neutral
R_2KeLNAsi1N6mhyN,Female,55-64 years old,Austria,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyriklab","Haus für Poesie,ZEBRA Poetry Film Festival",Neutral or Unsure,Neither Likely nor Unlikely,Neutral,Easy,Very Appealing
R_2FzNvfOmzdjGTrr,Male,25-34 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,"Friend, Coworker, Family member,Online Advertising","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible","Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible",Very Positive,Somewhat Likely,Very Easy to Use,Neutral,Appealing
R_4kMudC3pBhMZXUN,Female,65-74 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin	",,Very Positive,Extremely Likely,Easy to Use,Very Easy,Very Appealing
R_2QAsmnm62hdkSDv,Female,45-54 years old,Germany,German,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible	",,Positive,Somewhat Likely,Neutral,Very Easy,Neutral
R_8iNIg4KTUzKP3t7,Male,65-74 years old,Germany,English,I am not interested in writing,Yes,Physical advertising,"Haus für Poesie,lyrikline,poesiefestival berlin","Haus für Poesie,poesiefestival berlin",Positive,Somewhat Likely,Hard to Use,Easy,Appealing
R_2pMV67Q3KLrJ6Fo,Male,65-74 years old,Germany,German,I write as a hobby,No,Online Advertising,"Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival",Haus für Poesie,Very Positive,Extremely Likely,Neutral,Neutral,Neutral
R_5EezzybT8JSqeMV,Male,35-44 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,Online Advertising,open mike,poesiefestival berlin,Positive,Somewhat Likely,Very Easy to Use,Neutral,Appealing
