Unique Response ID,Gender,Age,Country they Currently Reside In,Primary Language,Writing Level,Awarness of Haus für Poesie ,How they Discovered Haus für Poesie,Brands they are Aware Of,Brands they Use,Experience with Haus für Poesie,Likeliness to Recommend Haus für Poesie to Others,Usability of Haus für Poesie's Website,Findability of Haus für Poesie's Website,Appeal of Haus für Poesie's Website
R_6pmORuF6E4UdRdK,Female,25-34 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,Komm zur sprache,lyrikklub","lyrikline,lyriklab",Positive,Somewhat Likely,Easy to Use,Very Easy,Appealing
R_1FBbptbmNXnc9uF,Male,75+ years old,Germany,German,I write as a hobby,No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,lyrikklub","Haus für Poesie,lyrikline",Neutral or Unsure,Neither Likely nor Unlikely,Very Easy to Use,Very Easy,Appealing
R_8Qynfu1QS0pSxIQ,Male,45-54 years old,Germany,German,I write as a hobby,Yes,"Online Advertising,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible",Haus für Poesie,Positive,Extremely Likely,Neutral,Easy,Appealing
R_4YAftQK17qvLFCN,Male,75+ years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyrikklub",Haus für Poesie,Very Positive,Extremely Likely,Very Easy to Use,Very Easy,Appealing
R_2ziS8dCN8tf5jsc,Female,45-54 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,lyrikklub	",,Positive,Extremely Likely,Easy to Use,Very Easy,Appealing
R_1qgifF3k7IrRX9v,Female,18-24 years old,Turkey,English,I write professionally,Yes,Online Advertising,"Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival","Haus für Poesie,ZEBRA Poetry Film Festival",Very Positive,Somewhat Likely,Easy to Use,Very Easy,Very Appealing
R_1wiOeBCMNdb5lso,Male,35-44 years old,Germany,German,I write as a hobby,No,Other literary organizations or events,"Haus für Poesie,lyrikline,open mike",lyrikline,Positive,Somewhat Likely,Neutral,Easy,Appealing
R_245oMiZQm6OwdTr,Female,55-64 years old,Germany,Spanish,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible",Haus für Poesie,Very Positive,Extremely Likely,Easy to Use,Very Easy,Appealing
R_222R3GuosARpbCl,Male,35-44 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member,Online Advertising,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival",Very Positive,Somewhat Likely,Very Easy to Use,Very Easy,Very Appealing
R_3NaikUnVKYpUnsd,Male,65-74 years old,Germany,German,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival",Haus für Poesie,Positive,Somewhat Likely,Easy to Use,Easy,Appealing
R_1Dhk6fyb2LoAfWW,Female,75+ years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,open mike,lyrikklub	",,Neutral or Unsure,Extremely Likely,Neutral,Easy,Neutral
R_2DtZbro7DG7S668,Male,75+ years old,Switzerland,German,I write professionally,Yes,"Online Advertising,Physical advertising,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin","Haus für Poesie,lyrikline",Very Positive,Extremely Likely,Neutral,Easy,Appealing
R_1fMskx8a1p2YOKR,Female,55-64 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike",Haus für Poesie,Positive,Somewhat Likely,Neutral,Easy,Neutral
R_8qmMNq2hgn6duXD,Male,55-64 years old,France,French,I write professionally,Yes,Physical advertising,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,VERSschmuggel / reVERSible",Haus für Poesie,Very Positive,Extremely Likely,Very Easy to Use,Very Easy,Appealing
R_2obt5IudOFw6CjE,Female,45-54 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,VERSschmuggel / reVERSible",lyrikline,Positive,Somewhat Likely,Neutral,Neutral,Appealing
R_2pQN0u8NltPByOl,Female,55-64 years old,Austria,German,I write professionally,No,Online Advertising,Haus für Poesie,Haus für Poesie,Very Positive,Extremely Likely,Very Easy to Use,Very Easy,Very Appealing
R_3JFWhrsH5CxHhv8,Female,45-54 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Online Advertising,"lyrikline,open mike",lyrikline,Neutral or Unsure,Neither Likely nor Unlikely,Easy to Use,Very Easy,Appealing
R_2xmgLHt0BuD0DF7,Male,35-44 years old,,German,I write as a hobby,Yes,Physical advertising,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible","Haus für Poesie,lyrikline",Very Positive,Extremely Likely,Easy to Use,Very Easy,Very Appealing
R_2KoRD7dA1jzrvQ8,Female,65-74 years old,Germany,German,I write as a hobby,No,Online Advertising,"Haus für Poesie,lyrikklub",Komm zur sprache,Positive,Somewhat unlikely,Easy to Use,Easy,Very Appealing
R_8Mtk5r4Ak7m3iin,Female,45-54 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyriklab","Haus für Poesie,lyrikline,poesiefestival berlin",Positive,Somewhat Likely,Easy to Use,Very Easy,Appealing
R_7NEBwMpz16O4dkv,Female,35-44 years old,Germany,German,I write as a hobby,No,Online Advertising,Haus für Poesie,Haus für Poesie,Positive,Somewhat Likely,Neutral,Neutral,Appealing
R_2zi1uhevkmb9PPe,Male,35-44 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member,Physical advertising","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,lyrikklub","Haus für Poesie,lyrikline",Very Positive,Extremely Likely,Very Easy to Use,Very Easy,Very Appealing
R_7qjyW4jkQIRFII1,Female,25-34 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,open mike,lyrikklub",lyrikline,Positive,Extremely Likely,Easy to Use,Very Easy,Appealing
R_3zBlHEcmyzKZlp7,Male,25-34 years old,Germany,German,I write professionally,Yes,Physical advertising,"Haus für Poesie,ZEBRA Poetry Film Festival,open mike,lyriklab",Haus für Poesie,Positive,Somewhat Likely,Neutral,Very Easy,Appealing
R_4QMtk6rtcMR7yDl,Female,25-34 years old,Germany,German,I write as a hobby,Yes,"Friend, Coworker, Family member","Haus für Poesie,open mike",open mike,Neutral or Unsure,Neither Likely nor Unlikely,Easy to Use,Very Easy,Appealing
R_192hIXMhYBoHglz,Female,45-54 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,Komm zur sprache,lyrikklub","Haus für Poesie,lyrikline,ZEBRA Poetry Film Festival,lyriklab,Komm zur sprache",Positive,Extremely Likely,Easy to Use,Easy,Appealing
R_4rOXI7clCicakiK,Female,55-64 years old,Germany,German,I write professionally,No,"Friend, Coworker, Family member","Haus für Poesie,poesiefestival berlin",Haus für Poesie,Positive,Neither Likely nor Unlikely,Easy to Use,Easy,Neutral
R_2IaWnvqn0fx8WiA,Male,45-54 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab","Haus für Poesie,lyrikline,open mike,VERSschmuggel / reVERSible,lyriklab",Very Positive,Extremely Likely,Easy to Use,Easy,Appealing
R_7RtBuFEt9d5AGzf,Male,25-34 years old,Albania,English,I write professionally,Yes,"Friend, Coworker, Family member,Physical advertising","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival",Positive,Somewhat Likely,Easy to Use,Very Easy,Appealing
R_2F3wc3qXFPMMF56,Male,45-54 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member","Haus für Poesie,poesiefestival berlin,open mike,lyriklab",Haus für Poesie,Positive,Extremely Likely,Easy to Use,Easy,Neutral
R_8qX7QqoS07y9COb,Female,45-54 years old,Germany,French,"I don't write much, but enjoy reading what others have written",No,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike",Haus für Poesie,Neutral or Unsure,Extremely Likely,Neutral,Very Easy,Neutral
R_4k3CxPsBKZbWGeR,Female,35-44 years old,Germany,German,I write as a hobby,No,Online Advertising,Haus für Poesie,,Positive,Neither Likely nor Unlikely,Hard to Use,Difficult,Unappealing
R_1USf0chb8AWg3m1,Male,25-34 years old,Germany,German,I write as a hobby,No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,Komm zur sprache,lyrikklub",lyrikline,Neutral or Unsure,Somewhat Likely,Easy to Use,Easy,Appealing
R_8CUH6C3dD40pdFG,Male,35-44 years old,Germany,German,I write as a hobby,Yes,Physical advertising,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,Komm zur sprache","Haus für Poesie,poesiefestival berlin",Very Positive,Extremely Likely,Very Easy to Use,Very Easy,Very Appealing
R_4hK1iOCMV753w3n,Male,75+ years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible","Haus für Poesie,lyrikline",Very Positive,Somewhat Likely,Neutral,Neutral,Appealing
R_8CYTcQFrwI9oZQB,Female,25-34 years old,Germany,German,I write as a hobby,No,Online Advertising,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyriklab,lyrikklub	",,Positive,Somewhat Likely,Neutral,Easy,Appealing
R_5EfZd2omrmYp5Es,Female,75+ years old,Germany,German,I write as a hobby,No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyriklab",Haus für Poesie,Positive,Extremely Likely,Easy to Use,Neutral,Appealing
R_2irN3QCN4iDLjkx,Female,35-44 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab","Haus für Poesie,lyrikline",Very Positive,Somewhat Likely,Easy to Use,Easy,Neutral
R_2cTwH7QJzY0tZwz,Non-binary / third gender,45-54 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Online Advertising,Haus für Poesie	,,Neutral or Unsure,Neither Likely nor Unlikely,Neutral,Neutral,Unappealing
R_24daFAtB0IroEpy,Female,25-34 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,open mike,lyrikklub","Haus für Poesie,poesiefestival berlin",Neutral or Unsure,Neither Likely nor Unlikely,Easy to Use,Very Easy,Appealing
R_1wKm5QyTFFUcFgZ,Female,65-74 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,"Friend, Coworker, Family member","Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival","Haus für Poesie,poesiefestival berlin",Very Positive,Somewhat Likely,Very Easy to Use,Very Easy,Very Appealing
R_3qVQX0bQpzXK92N,Female,55-64 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike	",,Very Positive,Somewhat Likely,Neutral,Easy,Neutral
R_7N5WFGOPS7aHB6h,Female,25-34 years old,Germany,English,I write professionally,Yes,"Online Advertising,Other literary organizations or events","Haus für Poesie,poesiefestival berlin,open mike",Haus für Poesie,Positive,Somewhat Likely,Easy to Use,Easy,Appealing
R_2XnyFHeE5X4WG4q,Female,55-64 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Online Advertising,lyrikline,lyrikline,Positive,Extremely Likely,Easy to Use,Easy,Appealing
R_4Nf4MsutWqeD6qJ,Male,55-64 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"Haus für Poesie,lyrikline","Haus für Poesie,lyrikline",Very Positive,Extremely Likely,Easy to Use,Very Easy,Appealing
R_5s6jiOniKigzbgN,Female,25-34 years old,Germany,Spanish,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyrikklub	",,Positive,Somewhat Likely,Easy to Use,Neutral,Appealing
R_6YbPj2FfQ15Eubt,Female,18-24 years old,Spain,German,I write as a hobby,No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyriklab","lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival",Very Positive,Extremely Likely,Easy to Use,Easy,Very Appealing
R_3YRGi29HNjENCts,Female,25-34 years old,Germany,German,I write as a hobby,Yes,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyriklab,Komm zur sprache,lyrikklub","Haus für Poesie,lyrikline,lyriklab",Neutral or Unsure,Somewhat Likely,Easy to Use,Easy,Appealing
R_20YF26qwJbqpkZ2,Female,45-54 years old,Germany,German,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike","Haus für Poesie,open mike",Positive,Extremely Likely,Easy to Use,Very Easy,Appealing
R_2sEJbwjTZO2CBmF,Female,55-64 years old,Germany,German,I write as a hobby,Yes,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike",Haus für Poesie,,Somewhat Likely,Hard to Use,Neutral,Unappealing
R_4ipNY0StL1y8Cpy,Female,18-24 years old,Germany,German,I write as a hobby,No,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,open mike",open mike,Very Positive,Extremely Likely,Easy to Use,Easy,Neutral
R_1D5FGVtEynPUAXV,Female,45-54 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,open mike","Haus für Poesie,lyrikline",Very Positive,Somewhat Likely,Very Easy to Use,Very Easy,Very Appealing
R_8I5D7cZEnHDsLnL,Female,35-44 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,open mike","Haus für Poesie,open mike",Positive,Extremely Likely,Easy to Use,Easy,Appealing
R_8gerEarsrHBb6JH,Female,55-64 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike",ZEBRA Poetry Film Festival,Positive,Extremely Likely,Easy to Use,Very Easy,Neutral
R_6S156P0q2DsDZmC,Non-binary / third gender,35-44 years old,Germany,-None of these-,I am a student studying Writing,Yes,"Friend, Coworker, Family member",Haus für Poesie,Haus für Poesie,Positive,Somewhat Likely,Easy to Use,Easy,Appealing
R_77KiYSiW3LCWe6M,Female,18-24 years old,Germany,German,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyriklab	",,Positive,Neither Likely nor Unlikely,Easy to Use,Easy,Neutral
R_5OjhhvdjtmtfvCH,Female,45-54 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible",lyrikline,Very Positive,Extremely Likely,Easy to Use,Easy,Appealing
R_7AQppWe4FggSBiD,Female,35-44 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member","Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike	",,Very Positive,Extremely Likely,Very Easy to Use,Very Easy,Very Appealing
R_3jKcxseUrmcl0gH,Female,35-44 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member,Online Advertising,Physical advertising,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,Komm zur sprache,lyrikklub","Haus für Poesie,lyrikline,open mike,lyriklab",Positive,Extremely Likely,Neutral,Easy,Appealing
R_7K7RQ2MgYrU7uUG,Male,65-74 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible","Haus für Poesie,lyrikline",Positive,Extremely Likely,Easy to Use,Very Easy,Neutral
R_8roztW8kUz9ERS0,Male,45-54 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyrikklub","Haus für Poesie,lyrikline",Positive,Somewhat Likely,Neutral,Easy,Appealing
R_1S7jhEfT0a8yZVR,Non-binary / third gender,18-24 years old,Germany,German,I write as a hobby,No,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,open mike",Haus für Poesie,Positive,Somewhat Likely,Very Easy to Use,Very Easy,Appealing
R_1kjCN4SX6Q3N4Cl,Female,18-24 years old,Germany,German,I write as a hobby,No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,Komm zur sprache,lyrikklub","lyrikline,lyriklab,Komm zur sprache",Very Positive,Extremely Likely,Very Easy to Use,Easy,Appealing
R_1RGzgn90dySFa5b,Female,55-64 years old,Germany,German,I write as a hobby,Yes,Physical advertising,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,VERSschmuggel / reVERSible",Positive,Somewhat Likely,Easy to Use,Very Easy,Unappealing
R_2NEdyAIyAIxNbu9,Female,35-44 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible	",,Neutral or Unsure,Somewhat Likely,Easy to Use,Very Easy,Very Appealing
R_5QriIvT7IrWLBUq,Female,25-34 years old,Germany,German,I am new to writing,No,Online Advertising,"poesiefestival berlin,open mike,Komm zur sprache",Komm zur sprache,Positive,Somewhat Likely,Very Easy to Use,Easy,Very Appealing
R_2z8DysYkEBe0s3s,Female,25-34 years old,Germany,German,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike	",,Neutral or Unsure,Somewhat Likely,Easy to Use,Very Easy,Appealing
R_1lyRGWKtfebamJC,Male,35-44 years old,Germany,German,I write as a hobby,Yes,"Friend, Coworker, Family member,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,Komm zur sprache,lyrikklub","Haus für Poesie,lyrikline,open mike,VERSschmuggel / reVERSible,lyriklab",Positive,Extremely Likely,Easy to Use,Very Easy,Neutral
R_55AdON7GB6Ue67I,Male,25-34 years old,Germany,German,I write professionally,Yes,Physical advertising,"Haus für Poesie,lyrikline,open mike,VERSschmuggel / reVERSible,Komm zur sprache",Haus für Poesie,Positive,Somewhat Likely,Easy to Use,Easy,Appealing
R_2dYG8qrdFOpTa0T,Male,55-64 years old,Germany,German,I write professionally,No,Online Advertising,"Haus für Poesie,poesiefestival berlin,open mike","Haus für Poesie,lyrikline,lyriklab",Positive,Somewhat Likely,Very Easy to Use,Easy,Very Appealing
R_4Pcxsh8hluAjTUM,Male,25-34 years old,Germany,German,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,open mike,VERSschmuggel / reVERSible,lyriklab","Haus für Poesie,lyrikline,VERSschmuggel / reVERSible",Positive,Somewhat Likely,Easy to Use,Very Easy,Appealing
R_4D0yaHLJxRdOWd7,Non-binary / third gender,18-24 years old,Germany,English,I write as a hobby,Yes,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,lyriklab,Komm zur sprache","Haus für Poesie,poesiefestival berlin",,Somewhat Likely,Easy to Use,Very Easy,Appealing
R_4J9qCjEv5pvyt7q,Female,45-54 years old,Estonia,-None of these-,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival","Haus für Poesie,lyrikline",Very Positive,Extremely Likely,Very Easy to Use,Very Easy,Appealing
R_3P82zUhpgWQfZ06,Female,45-54 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,"Friend, Coworker, Family member,Online Advertising,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible	",,Positive,Somewhat Likely,Hard to Use,Easy,Unappealing
R_22ncwoxy0Q3UYqE,Female,35-44 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,open mike,VERSschmuggel / reVERSible	",,Positive,Somewhat Likely,Easy to Use,Easy,Neutral